PLACE,PIN,LAT,LON
Gandibed,756047,21.282557,86.53875
Garadihi,756041,21.503454,86.674959
Garasang,756134,21.186819,86.475644
Genguti,756056,21.6622,87.27377
Ghantiary,756026,21.714088,87.290428
Ghantua,756023,21.679938,87.25126
Ghasua,756055,21.226128,86.690693
Ghodapada,756003,21.502879,86.958654
Gilajodi,756081,21.72568,87.18865
Gobindpur,756019,21.17803,86.56239
Gop,756086,21.826164,87.223263
Gopalpur,756041,21.342723,86.741916
Gopalpur,756044,21.342723,86.741916
Gopinathpur,756030,21.696645,87.302331
Gopinathpur,756036,21.696645,87.302331
Govindapur,756126,21.50068,86.82968
Guapal,756059,21.303047,86.401633
Gud,756046,21.17725,86.75336
Gudikhal,756030,21.734772,87.138717
Gududapatna,756019,21.520134,86.898115
Gudupai,756025,21.520134,86.898115
Guneibasan,756036,21.665582,87.411869
Haladiapada,756029,21.70753,87.078659
Haldipada,756027,21.575431,87.001752
Haridaspur,756036,21.71186,87.33956
Haripur,756003,21.361512,86.664411
Haripur,756115,21.361512,86.664411
Hatiadiha,756028,21.620325,87.031193
Hatigarh,756033,21.890942,87.192737
Hatikhulia,756045,21.520134,86.898115
Hatsahi,756040,21.520134,86.898115
Hidigaon,756025,21.461957,86.98833
Ikida,756034,21.744552,87.303397
Inchudi,756021,21.34386,86.89607
Irda,756080,21.645071,87.125724
Issannagar,756001,21.485934,86.916378
Iswarpur,756038,21.504091,87.04984
Iswarpur,756042,21.504091,87.04984
Jadibali,756041,21.54172,86.81094
Jagai,756083,21.520134,86.898115
Jagannathpur,756044,21.295524,86.855912
JagannathpurBachhada,756046,21.520134,86.898115
Jageswarpada,756044,21.315521,86.810736
JalangaGandibed,756134,21.198658,86.493862
Jaleswar,756032,21.797518,87.220099
Jaleswarpur,756036,21.683178,87.407116
JaleswarRailwayStation,756086,21.797261,87.220307
Jamalpur,756029,21.711799,87.156521
Jamalpur,756086,21.711799,87.156521
Jamatkula,756083,21.594903,87.287943
Jambhirai,756024,21.55257,87.1842
Jamjhadi,756126,21.520134,86.898115
Jamkunda,756026,21.63203,87.31819
Jamsuli,756081,21.674851,87.169712
Jamudiha,756041,21.53278,86.76175
Jamuna,756058,21.503197,86.588015
Janhia,756045,21.322435,86.688757
Januganj,756019,21.51608,86.88139
Jathia,756023,21.520134,86.898115
Jayarampur,756038,21.643602,87.390253
JaydevKasba,756021,21.520134,86.898115
Jharapimpal,756026,21.520134,86.898115
Jhinkiria,756027,21.53841,87.02234
Jirtal,756043,21.520134,86.898115
Kabataghati,756033,21.93403,87.17897
Kachuadi,756035,21.736355,87.389952
Kahalia,756040,21.466677,86.792843
Kainagari,756080,21.622496,87.156003
Kaithagadia,756059,21.31803,86.42408
Kakhra,756039,21.646252,87.461023
Kalakad,756041,21.47707,86.72941
Kalama,756033,21.82956,87.16308
Kalaspur,756166,21.140499,86.613232
Kalyani,756044,21.311784,86.84964
Kamarda,756035,21.75244,87.36558
Kamarsalia,756034,21.77733,87.31748
Kanchpada,756166,21.520134,86.898115
Kandagaridi,756042,21.520134,86.898115
Kankei,756033,21.520134,86.898115
Kanrali,756019,21.545745,86.871031
Kans,756020,21.58242,86.7586
Karanja,756083,21.598823,87.25437
Karanjabindha,756044,21.299404,86.824544
Karihanda,756035,21.749989,87.393476
KasbaJaipur,756043,21.520134,86.898115
Kashafal,756024,21.540442,87.147276
Kashimpur,756019,21.57216,86.86986
Kasida,756034,21.71085,87.2669
Kedarpur,756045,21.249263,86.693839
Kesharipur,756045,21.353518,86.696356
Keshpura,756086,21.72933,87.23854
Khadikapada,756029,21.602949,87.101751
Khaira,756048,21.283526,86.471044
Khairagobindapur,756049,21.520134,86.898115
Khairda,756035,21.74654,87.27773
Khalabadia,756038,21.77683,87.36428
Khalamuhani,756023,21.65974,87.245662
Khalina,756034,21.730693,87.304098
Khanabad,756033,21.890831,87.216417
KhanNagar,756060,21.455545,86.879369
Khantapada,756043,21.385897,86.832074
Kharadiha,756041,21.520134,86.898115
Kharsahapur,756046,21.236923,86.827055
KhirachoraGopinath,756019,21.513705,86.89088
Khuard,756033,21.880722,87.120943
Khuluda,756034,21.725013,87.27807
Kishorchandrapur,756058,21.520134,86.898115
Kochiakoili,756042,21.26612,86.74631
Kothapada,756022,21.660444,87.111109
Kothia,756022,21.687679,87.136055
Kotisahi,756035,21.714825,87.398363
Kuanrpur,756021,21.3022,86.4709
KudeiNadigaon,756045,21.293789,86.642135
Kuldiha,756030,21.750267,87.138549
Kuligaon,756043,21.520134,86.898115
Kumarjalina,756036,21.66991,87.400343
Kumarmuli,756036,21.520134,86.898115
Kumarpur,756046,21.192457,86.793356
Kumbhari,756023,21.683321,87.230731
Kupari,756059,21.27214,86.41869
Kuruda,756056,21.46898,86.88445
Kuruda-soro,756046,21.268583,86.769289
Kurunta,756047,21.254381,86.552083
Kushadiha,756029,21.520134,86.898115
Kusuda,756035,21.713538,87.348809
